iteracion,costo
0,411.1492343777759
1,411.1492343777759
2,411.1492343777759
3,409.47234609986793
4,403.5664579401096
5,403.5664579401096
6,398.5294151048569
7,398.5294151048569
8,398.5294151048569
9,398.5294151048569
10,398.5294151048569
11,397.9043571457331
12,392.8350608307492
13,390.4055740387568
14,390.4055740387568
15,390.4055740387568
16,390.4055740387568
17,390.4055740387568
18,390.4055740387568
19,390.4055740387568
20,390.4055740387568
21,390.4055740387568
22,390.4055740387568
23,390.4055740387568
24,390.4055740387568
25,390.4055740387568
26,390.4055740387568
27,390.4055740387568
28,390.4055740387568
29,390.4055740387568
30,390.4055740387568
31,390.4055740387568
32,390.4055740387568
33,390.4055740387568
34,390.4055740387568
35,390.4055740387568
36,390.4055740387568
37,390.4055740387568
38,390.4055740387568
39,390.4055740387568
40,390.4055740387568
41,390.4055740387568
42,390.4055740387568
43,390.4055740387568
44,390.4055740387568
45,390.4055740387568
46,390.4055740387568
47,390.4055740387568
48,390.4055740387568
49,390.4055740387568
50,390.4055740387568
51,390.4055740387568
52,390.4055740387568
53,390.4055740387568
54,390.4055740387568
55,390.4055740387568
56,390.4055740387568
57,390.4055740387568
58,390.4055740387568
59,390.4055740387568
60,390.4055740387568
61,390.4055740387568
62,390.4055740387568
63,390.4055740387568
64,390.4055740387568
65,390.4055740387568
66,390.4055740387568
67,390.4055740387568
68,390.4055740387568
69,390.4055740387568
70,390.4055740387568
71,390.4055740387568
72,390.4055740387568
73,390.4055740387568
74,390.4055740387568
75,390.4055740387568
76,390.4055740387568
77,390.4055740387568
78,390.4055740387568
79,390.4055740387568
80,390.4055740387568
81,390.4055740387568
82,390.4055740387568
83,390.4055740387568
84,390.4055740387568
85,390.4055740387568
86,390.4055740387568
87,390.4055740387568
88,390.4055740387568
89,390.4055740387568
90,390.4055740387568
91,390.4055740387568
92,390.4055740387568
93,390.4055740387568
94,390.4055740387568
95,390.4055740387568
96,390.4055740387568
97,390.4055740387568
98,390.4055740387568
99,390.4055740387568
100,390.4055740387568
101,390.4055740387568
102,390.4055740387568
103,390.4055740387568
104,390.4055740387568
105,390.4055740387568
106,390.4055740387568
107,390.4055740387568
108,390.4055740387568
109,390.4055740387568
110,390.4055740387568
111,390.4055740387568
112,390.4055740387568
113,390.4055740387568
114,390.4055740387568
115,390.4055740387568
116,390.4055740387568
117,390.4055740387568
118,390.4055740387568
119,390.4055740387568
120,390.4055740387568
121,390.4055740387568
122,390.4055740387568
123,390.4055740387568
124,390.4055740387568
125,390.4055740387568
126,390.4055740387568
127,390.4055740387568
128,390.4055740387568
129,390.4055740387568
130,390.4055740387568
131,390.4055740387568
132,390.4055740387568
133,390.4055740387568
134,390.4055740387568
135,390.4055740387568
136,390.4055740387568
137,390.4055740387568
138,390.4055740387568
139,390.4055740387568
140,390.4055740387568
141,390.4055740387568
142,390.4055740387568
143,390.4055740387568
144,390.4055740387568
145,390.4055740387568
146,390.4055740387568
147,390.4055740387568
148,390.4055740387568
149,390.4055740387568
150,390.4055740387568
151,390.4055740387568
152,390.4055740387568
153,390.4055740387568
154,390.4055740387568
155,390.4055740387568
156,390.4055740387568
157,390.4055740387568
158,390.4055740387568
159,390.4055740387568
160,390.4055740387568
161,390.4055740387568
162,390.4055740387568
163,390.4055740387568
164,390.4055740387568
165,390.4055740387568
166,390.4055740387568
167,390.4055740387568
168,390.4055740387568
169,390.4055740387568
170,390.4055740387568
171,390.4055740387568
172,390.4055740387568
173,390.4055740387568
174,390.4055740387568
175,390.4055740387568
176,390.4055740387568
177,390.4055740387568
178,390.4055740387568
179,390.4055740387568
180,390.4055740387568
181,390.4055740387568
182,390.4055740387568
183,390.4055740387568
184,390.4055740387568
185,390.4055740387568
186,390.4055740387568
187,390.4055740387568
188,390.4055740387568
189,390.4055740387568
190,390.4055740387568
